2026-01-30 13:40:00 | INFO     | trading_bot.cli | Starting trading bot
2026-01-30 13:40:05 | DEBUG    | trading_bot.client | Request: POST /fapi/v1/order
2026-01-30 13:40:05 | DEBUG    | trading_bot.client | Params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.002, 'timestamp': 1769760605646, 'signature': '***'}
2026-01-30 13:40:05 | DEBUG    | trading_bot.client | Response status: 200
2026-01-30 13:40:05 | DEBUG    | trading_bot.client | Response data: {'orderId': 12037859753, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'YEmWNoftRZlIslrW49G4nJ', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.002', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1769760605731}
2026-01-30 13:40:05 | INFO     | trading_bot.orders | Order placed successfully: 12037859753
2026-01-30 13:40:05 | INFO     | trading_bot.cli | Order completed successfully
2026-01-30 13:40:08 | INFO     | trading_bot.cli | Starting trading bot
2026-01-30 13:40:08 | INFO     | trading_bot.cli | Order params: symbol=BTCUSDT, side=SELL, type=LIMIT, qty=0.002, price=115000.0
2026-01-30 13:40:08 | DEBUG    | trading_bot.client | Request: GET /fapi/v1/time
2026-01-30 13:40:08 | DEBUG    | trading_bot.client | Params: {}
2026-01-30 13:40:09 | DEBUG    | trading_bot.client | Response status: 200
2026-01-30 13:40:09 | DEBUG    | trading_bot.client | Response data: {'serverTime': 1769760609026}
2026-01-30 13:40:09 | INFO     | trading_bot.cli | API connection established
2026-01-30 13:40:09 | INFO     | trading_bot.orders | Order request: {'symbol': 'BTCUSDT', 'side': 'SELL', 'order_type': 'LIMIT', 'quantity': 0.002, 'price': 115000.0}
2026-01-30 13:40:09 | INFO     | trading_bot.client | Placing LIMIT SELL order for 0.002 BTCUSDT
2026-01-30 13:40:09 | DEBUG    | trading_bot.client | Request: POST /fapi/v1/order
2026-01-30 13:40:09 | DEBUG    | trading_bot.client | Params: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.002, 'price': 115000.0, 'timeInForce': 'GTC', 'timestamp': 1769760609085, 'signature': '***'}
2026-01-30 13:40:09 | DEBUG    | trading_bot.client | Response status: 200
2026-01-30 13:40:09 | DEBUG    | trading_bot.client | Response data: {'orderId': 12037860229, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'GpOuyaEuMrEQk4hFmBmZxU', 'price': '115000.00', 'avgPrice': '0.00', 'origQty': '0.002', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1769760609170}
2026-01-30 13:40:09 | INFO     | trading_bot.orders | Order placed successfully: 12037860229
2026-01-30 13:40:09 | INFO     | trading_bot.cli | Order completed successfully
2026-01-30 13:40:27 | INFO     | trading_bot.cli | Starting trading bot
2026-01-30 13:40:27 | INFO     | trading_bot.cli | Order params: symbol=BTCUSDT, side=SELL, type=LIMIT, qty=0.002, price=115000.0
2026-01-30 13:40:27 | DEBUG    | trading_bot.client | Request: GET /fapi/v1/time
2026-01-30 13:40:27 | DEBUG    | trading_bot.client | Params: {}
2026-01-30 13:40:28 | DEBUG    | trading_bot.client | Response status: 200
2026-01-30 13:40:28 | DEBUG    | trading_bot.client | Response data: {'serverTime': 1769760627964}
2026-01-30 13:40:28 | INFO     | trading_bot.cli | API connection established
2026-01-30 13:40:28 | INFO     | trading_bot.orders | Order request: {'symbol': 'BTCUSDT', 'side': 'SELL', 'order_type': 'LIMIT', 'quantity': 0.002, 'price': 115000.0}
2026-01-30 13:40:28 | INFO     | trading_bot.client | Placing LIMIT SELL order for 0.002 BTCUSDT
2026-01-30 13:40:28 | DEBUG    | trading_bot.client | Request: POST /fapi/v1/order
2026-01-30 13:40:28 | DEBUG    | trading_bot.client | Params: {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.002, 'price': 115000.0, 'timeInForce': 'GTC', 'timestamp': 1769760628025, 'signature': '***'}
2026-01-30 13:40:28 | DEBUG    | trading_bot.client | Response status: 200
2026-01-30 13:40:28 | DEBUG    | trading_bot.client | Response data: {'orderId': 12037861280, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'ymtdYSz0FvQs72PlyUSfda', 'price': '115000.00', 'avgPrice': '0.00', 'origQty': '0.002', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1769760628107}
2026-01-30 13:40:28 | INFO     | trading_bot.orders | Order placed successfully: 12037861280
2026-01-30 13:40:28 | INFO     | trading_bot.cli | Order completed successfully
2026-01-30 13:40:55 | INFO     | trading_bot.cli | Starting trading bot
2026-01-30 13:40:55 | INFO     | trading_bot.cli | Order params: symbol=BTCUSDT, side=BUY, type=LIMIT, qty=0.005, price=115000.0
2026-01-30 13:40:55 | DEBUG    | trading_bot.client | Request: GET /fapi/v1/time
2026-01-30 13:40:55 | DEBUG    | trading_bot.client | Params: {}
2026-01-30 13:40:55 | DEBUG    | trading_bot.client | Response status: 200
2026-01-30 13:40:55 | DEBUG    | trading_bot.client | Response data: {'serverTime': 1769760655395}
2026-01-30 13:40:55 | INFO     | trading_bot.cli | API connection established
2026-01-30 13:40:55 | INFO     | trading_bot.orders | Order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'order_type': 'LIMIT', 'quantity': 0.005, 'price': 115000.0}
2026-01-30 13:40:55 | INFO     | trading_bot.client | Placing LIMIT BUY order for 0.005 BTCUSDT
2026-01-30 13:40:55 | DEBUG    | trading_bot.client | Request: POST /fapi/v1/order
2026-01-30 13:40:55 | DEBUG    | trading_bot.client | Params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': 0.005, 'price': 115000.0, 'timeInForce': 'GTC', 'timestamp': 1769760655455, 'signature': '***'}
2026-01-30 13:40:55 | DEBUG    | trading_bot.client | Response status: 400
2026-01-30 13:40:55 | ERROR    | trading_bot.client | API error: -4016 - Limit price can't be higher than 86871.97.
2026-01-30 13:40:55 | ERROR    | trading_bot.orders | Order failed: API Error -4016: Limit price can't be higher than 86871.97.
2026-01-30 13:40:55 | ERROR    | trading_bot.cli | Order failed: Limit price can't be higher than 86871.97.
2026-01-30 13:42:57 | INFO     | trading_bot.cli | Starting trading bot
2026-01-30 13:42:57 | INFO     | trading_bot.cli | Order params: symbol=BTCUSDT, side=BUY, type=LIMIT, qty=0.005, price=115000.0
2026-01-30 13:42:57 | DEBUG    | trading_bot.client | Request: GET /fapi/v1/time
2026-01-30 13:42:57 | DEBUG    | trading_bot.client | Params: {}
2026-01-30 13:42:57 | DEBUG    | trading_bot.client | Response status: 200
2026-01-30 13:42:57 | DEBUG    | trading_bot.client | Response data: {'serverTime': 1769760777765}
2026-01-30 13:42:57 | INFO     | trading_bot.cli | API connection established
2026-01-30 13:42:57 | INFO     | trading_bot.orders | Order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'order_type': 'LIMIT', 'quantity': 0.005, 'price': 115000.0}
2026-01-30 13:42:57 | INFO     | trading_bot.client | Placing LIMIT BUY order for 0.005 BTCUSDT
2026-01-30 13:42:57 | DEBUG    | trading_bot.client | Request: POST /fapi/v1/order
2026-01-30 13:42:57 | DEBUG    | trading_bot.client | Params: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': 0.005, 'price': 115000.0, 'timeInForce': 'GTC', 'timestamp': 1769760777826, 'signature': '***'}
2026-01-30 13:42:57 | DEBUG    | trading_bot.client | Response status: 400
2026-01-30 13:42:57 | ERROR    | trading_bot.client | API error: -4016 - Limit price can't be higher than 86856.21.
2026-01-30 13:42:57 | ERROR    | trading_bot.orders | Order failed: API Error -4016: Limit price can't be higher than 86856.21.
2026-01-30 13:42:57 | ERROR    | trading_bot.cli | Order failed: Limit price can't be higher than 86856.21.
